Count of location,
Row Labels,Total
265 PEACHTREE CENTER AVE NE @Multiple,12
3 Joseph E Lowery Blvd SW,12
3368 PEACHTREE RD NE,12
3405 LENOX RD NE,12
3500 MARTIN L KING JR DR SW,12
360 PHARR RD NE,12
372 MORELAND AVE NE,12
3749 CAMPBELLTON RD SW,12
3833 PRINCETON LAKES CT SW,12
565 GREENSFERRY AVE SW,12
685 11TH ST NW,12
761 SIDNEY MARCUS BLVD NE @QUICK TRIP - SIDNEY,12
850 OAK ST,12
950 W PEACHTREE ST NW @PUBLIX - W PEACHTREE,12
1016 HOWELL MILL RD NW,11
1192 PRYOR ST SW,11
123 MARIETTA ST NW,11
1280 W PEACHTREE ST NW,11
135 ANDREW YOUNG INTERNA BLVD NW,11
135 W WIEUCA RD NW,11
1425 JOSEPH E BOONE BLVD NW,11
1631 STANTON RD SW,11
180 WALKER ST SW,11
1829 CAMPBELLTON RD SW,11
1845 PIEDMONT AVE NE,11
195 FAIRBURN RD NW,11
1990 DONALD LEE HOLLOWELL PKWY NW,11
1999 BENT CREEK WAY SW,11
2115 MONROE DR NE,11
214 COLONIAL HOMES DR NW,11
232 FORSYTH ST SW,11
235 PEACHTREE ST NE @ATL GAS LIGHT TOWER,11
2500 CENTER ST NW @ETHERIDGE COURT APT,11
2519 CHANTILLY DR NE,11
267 MARIETTA ST NW,11
3097 PIEDMONT RD NE,11
3113 CAMPBELLTON RD SW,11
3160 GREENBRIAR PKWY SW,11
3260 DONALD LEE HOLLOWELL PKWY NW,11
3365 PIEDMONT RD NE,11
3535 PEACHTREE RD NE @TARGET - PEACHTREE,11
3730 CARMIA DR SW,11
391 17TH ST NW,11
433 HIGHLAND AVE NE,11
44 KROG ST NE,11
507 BISHOP ST NW,11
565 WELLS ST SW,11
6000 SOUTH TERMINAL PKWY,11
626 DEKALB AVE SE,11
725 PONCE DE LEON AVE NE @KROGER - PONCE,11
755 HANK AARON DR SW @TURNER FIELD,11
80 JESSE HILL JR DR SE,11
930 HOWELL MILL RD NW,11
1160 MOORES MILL RD NW,10
11700 SPINE RD,10
1185 COLLIER RD NW,10
1387 NORTHSIDE DR NW,10
1401 W PACES FERRY RD NW,10
1425 ELLSWORTH INDUSTRIAL BLVD NW,10
1450 DONNELLY AVE SW,10
1455 MORELAND AVE SE,10
1505 CHATTAHOOCHEE AVE NW,10
1620 HOLLYWOOD RD NW,10
1683 LAKEWOOD AVE SE,10
177 MOURY AVE SW,10
1801 HOWELL MILL RD,10
1812 PEACHTREE ST NW,10
1983 HOWELL MILL RD NW,10
202 CANDLER RD SE,10
2020 HOWELL MILL RD NW,10
2171 PEACHTREE RD NE,10
2220 CAMPBELLTON RD SW,10
2265 PERRY BLVD NW,10
227 COURTLAND ST NE,10
240 N HIGHLAND AVE NE,10
259 RICHARDSON ST SW,10
2636 MARTIN L KING JR DR SW,10
265 PONCE DE LEON AVE NE,10
2716 MARTIN L KING JR DR SW,10
275 E LAKE BLVD SE,10
2841 GREENBRIAR PKWY,10
2975 HEADLAND DR SW,10
300 MARTIN L KING JR DR SE,10
305 JOSEPH E LOWERY BLVD NW,10
3221 MARTIN L KING JR DR NW,10
3300 PEACHTREE RD NE,10
3393 PEACHTREE RD NE @LENOX SQUARE,10
3509 MARTIN L KING JR DR NW,10
375 LUCKIE ST NW,10
3909 CAMPBELLTON RD SW,10
4472 CAMPBELLTON RD SW,10
45 IVAN ALLEN JR BLVD NW,10
450 16TH ST NW,10
455 FULTON ST SW,10
464 MORELAND AVE NE,10
50 ALABAMA ST SW,10
506 MORELAND AVE NE,10
508 MAIN ST NE,10
525 GLEN IRIS DR NE,10
641 NORTH AVE NE,10
691 14TH ST NW,10
74 NORTHSIDE DR SW,10
800 PEACHTREE ST NE,10
816 MAGNOLIA WAY NW,10
855 PEACHTREE ST NE,10
969 MARIETTA ST NW,10
9700 SPINE RD,10
10 LAKESIDE VILLAGE DR SE,9
100 LAKEWOOD WAY SW,9
116 PONCE DE LEON AVE NE,9
1220 MECASLIN ST NW,9
1225 CAROLINE ST NE @TARGET - CAROLINE,9
1284 W PACES FERRY RD NW,9
1371 MARKET ST NW,9
1400 DONALD LEE HOLLOWELL PKWY NW,9
15 PEACHTREE ST SW,9
1695 NORTHSIDE DR NW,9
170 NORTHSIDE DR SW,9
1715 HOWELL MILL RD NW,9
1750 COMMERCE DR NW,9
1850 METROPOLITAN PKWY SW,9
1874 PEACHTREE RD NW,9
190 MARIETTA ST NW,9
190 MARIETTA ST NW @CNN CENTER,9
1903 DREW DR NW,9
1940 FISHER RD SE,9
1993 BENT CREEK WAY SW,9
2001 SYLVAN RD SW,9
2075 ALISON CT SW,9
210 PEACHTREE ST NW,9
2221 PEACHTREE RD NE,9
2237 CASCADE RD SW,9
2328 CAMPBELLTON RD SW,9
2430 CHESHIRE BRIDGE RD NE,9
2452 MOROSGO WAY NE,9
2479 ABNER TER NW,9
250 10TH ST NE,9
2525 PIEDMONT RD,9
255 COURTLAND ST NE,9
2555 BOLTON RD NW,9
262 ARTHUR LANGFORD JR PL SW,9
2779 LAKEWOOD AVE SW,9
3035 PEACHTREE RD NE,9
310 THOMASVILLE BLVD SE,9
311 SCOTT ST SW,9
3131 CAMPBELLTON RD SW @WESTGATE PLAZA,9
3335 MARTIN L KING JR DR NW,9
3500 PEACHTREE RD,9
3599 MARTIN L KING JR DR NW,9
3657 MARTIN L KING JR DR NW,9
396 PIEDMONT AVE NE,9
40 PEACHTREE VALLEY RD NE,9
400 CENTRAL PARK PL NE,9
437 MEMORIAL DR SE,9
445 MARKHAM ST SW,9
460 THOMASVILLE BLVD SE,9
50 UPPER ALABAMA ST SW,9
500 10TH ST NE,9
570 SPRING ST NW,9
600 PONCE DE LEON AVE NE,9
639 MOROSGO DR NE,9
675 METROPOLITAN PKWY SW,9
675 PONCE DE LEON AVE NE,9
695 NORTH AVE NE @MASQUERADE CLUB,9
715 PEACHTREE ST NE,9
720 DONALD LEE HOLLOWELL PKWY NW,9
747 RALPH MCGILL BLVD NE,9
751 FAIRBURN RD SW,9
758 Ponce De Leon Ave NE,9
817 W PEACHTREE ST NE,9
887 W MARIETTA ST NW,9
900 NEW TOWN CIR SE,9
931 MONROE DR NE,9
950 W PEACHTREE ST NW,9
980 HOLLYWOOD RD NW,9
1000 MARIETTA ST NW,8
1000 NEW TOWN CIR SE,8
102 OLLIE ST NW @WASHINGTON PARK,8
106 BAKER ST NE,8
1097 HARWELL RD NW @BLUE FLAME,8
1104 MORELAND AVE SE,8
1165 RALPH D ABERNATHY BLVD SW,8
1167 JOSEPH E BOONE BLVD NW,8
1199 NORTHSIDE DR NW,8
1241 MORELAND AVE SE @SUNSHINE PLAZA SC,8
1247 JOSEPH E BOONE BLVD NW,8
144 MORELAND AVE NE,8
15 PEACHTREE ST SE,8
157 MOURY AVE SW,8
1600 PRYOR RD SW,8
1720 MARTIN L KING JR DR SW,8
1760 NORTHSIDE DR NW,8
1919 METROPOLITAN PKWY,8
